"FullName","Kind","SizeBytes","LastWrite"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\BethINI-Presets\ultra\Oblivion.ini","Archivo","1070","2016-07-17 18:57:08"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Oblivion.ini","Archivo","15665","2016-07-10 14:31:42"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\high","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\high\Oblivion.ini","Archivo","1071","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\low","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\low\Oblivion.ini","Archivo","1069","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\medium","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\medium\Oblivion.ini","Archivo","1070","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\poor","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\poor\Oblivion.ini","Archivo","1069","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\ultra","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Oblivion\Vanilla-Presets\ultra\Oblivion.ini","Archivo","1075","2016-06-24 10:53:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\high","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\high\Skyrim.ini","Archivo","914","2022-02-20 18:17:18"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\high\SkyrimPrefs.ini","Archivo","1804","2022-02-20 20:58:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\low","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\low\Skyrim.ini","Archivo","909","2022-02-23 23:10:20"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\low\SkyrimPrefs.ini","Archivo","1790","2022-02-23 23:14:38"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\medium","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\medium\Skyrim.ini","Archivo","913","2022-02-20 18:30:40"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\medium\SkyrimPrefs.ini","Archivo","1793","2022-02-20 21:01:24"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\poor","Directorio","-","2022-04-30 18:39:28"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\poor\Skyrim.ini","Archivo","902","2022-02-20 18:53:08"
"G:\Skyrim Mods\00-Tools\BethINI\BethINI Standalone\Presets\Skyrim Special Edition\BethINI-Presets\poor\SkyrimPrefs.ini","Archivo","1773","2022-02-20 18:57:16"
